id,posX,posY,,,,
/ A-line,,,,,,
#Seattle,A1,,,,,
A1,173,7,#Seattle,A2,,
A2,204,20,A1,#Spokane,,
#Spokane,A2,B1,A4,,,
A3,262,7,#Spokane,,,
A4,284,8,A3,A5,,
A5,307,11,A4,A6,,
A6,329,10,A5,A7,,
A7,352,12,A6,A8,,
A8,388,13,A7,A9,,
A9,417,17,A8,A10,,
A10,444,25,A9,A11,,
A11,476,30,A10,A12,,
A12,503,23,A11,A13,C1,
A13,535,21,A12,A14,,
A14,563,30,A13,A15,,
A15,587,37,A14,A16,,
A16,608,42,A15,#Fargo,,
#Fargo,F16,A17,,,,
A17,646,70,#Fargo,,,
A18,673,81,,,,
#Minneapolis,,,,,,
/ B-line,,,,,,
B1,220,37,#Spokane,,,
B2,196,53,B1,B3,UP:??,
B3,159,51,#Portland OR,B2,B4,UP:??
#Portland OR,,,,,,
B4,151,77,B3,B5,,
B5,132,99,B4,B6,,
B6,131,126,B5,B7,,
B7,137,154,B6,$,,
/ C-line,,,,,,
C1,355,36,,,,
C2,340,51,,,,
/ D-line,,,,,,
D1,488,45,,,,
